Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
filled terbium extracting nano resin,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11418,满溢的铽萃取纳米树脂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
filled thulium extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11426,满溢的铥萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
filled thulium extracting nano resin,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11426,满溢的铥萃取纳米树脂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
filled ytterbium extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11428,满溢的镱萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
filled ytterbium extracting nano resin,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11428,满溢的镱萃取纳米树脂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
filtered bastnasite mud,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11106,过滤氟碳镧铈泥浆单元,bartworks:gt.bwMetaGeneratedcell
filtered bastnasite mud,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11106,过滤氟碳镧铈泥浆 Capsule,bartworks:gt.bwMetaGeneratedcapsule
fire_water,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketFire_water@0,桶装火焰水,EnderIO:bucketFire_water
fishoil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30711,鱼油单元,gregtech:gt.metaitem.01
fluid.2ethylanthrahydroquinone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.2Ethylanthrahydroquinone@0,2-乙基蒽氢醌单元,miscutils:2Ethylanthrahydroquinone
fluid.2ethylanthraquinone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.2Ethylanthraquinone@0,2-乙基蒽醌单元,miscutils:2Ethylanthraquinone
fluid.ammoniumnitrateslurry,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.AmmoniumNitrateSlurry@0,水合硝酸铵浆单元,miscutils:AmmoniumNitrateSlurry
fluid.anthracene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Anthracene@0,蒽单元,miscutils:Anthracene
fluid.burntlifbef2thf4uf4,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.BurntLiFBeF2ThF4UF4@0,枯竭铀钍复合氟化物熔盐单元,miscutils:BurntLiFBeF2ThF4UF4
fluid.burntlifbef2zrf4u235,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.BurntLiFBeF2ZrF4U235@0,枯竭铀235复合氟化物熔盐单元,miscutils:BurntLiFBeF2ZrF4U235
fluid.burntlifbef2zrf4uf4,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.BurntLiFBeF2ZrF4UF4@0,枯竭铀锆复合氟化物熔盐单元,miscutils:BurntLiFBeF2ZrF4UF4
fluid.coalgas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.CoalGas@0,煤气单元,miscutils:CoalGas
fluid.coaltar,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.CoalTar@0,煤焦单元,miscutils:CoalTar
fluid.coaltaroil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.CoalTarOil@0,煤焦油单元,miscutils:CoalTarOil
fluid.ethylbenzene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Ethylbenzene@0,乙苯单元,miscutils:Ethylbenzene
fluid.fertile.manure.slurry,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FertileManureSlurry@0,肥沃的粪浆单元,miscutils:FertileManureSlurry
fluid.fertiliser,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Fertiliser@0,流体肥料单元,miscutils:Fertiliser
fluid.formaldehyde,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Formaldehyde@0,甲醛单元,miscutils:Formaldehyde
fluid.geneticmutagen,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.GeneticMutagen@0,遗传诱变剂单元,miscutils:GeneticMutagen
fluid.hydrazine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Hydrazine@0,肼单元,miscutils:Hydrazine
fluid.hydrogenperoxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.HydrogenPeroxide@0,过氧化氢单元,miscutils:HydrogenPeroxide
fluid.impurelifbef2,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.ImpureLiFBeF2@0,含杂熔盐基单元,miscutils:ImpureLiFBeF2
fluid.kerosene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Kerosene@0,煤油单元,miscutils:Kerosene
fluid.liquidhydrogen,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.LiquidHydrogen@0,液氢单元,miscutils:LiquidHydrogen
fluid.lithiumperoxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.LithiumPeroxide@0,过氧化锂单元,miscutils:LithiumPeroxide
fluid.manure.slurry,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.ManureSlurry@0,粪浆单元,miscutils:ManureSlurry
fluid.monomethylhydrazine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Monomethylhydrazine@0,一甲基肼单元,miscutils:Monomethylhydrazine
fluid.naphthalene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.Naphthalene@0,萘单元,miscutils:Naphthalene
fluid.nitrogentetroxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.NitrogenTetroxide@0,四氧化二氮单元,miscutils:NitrogenTetroxide
fluid.raisinjuice,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.RaisinJuice@0,葡萄汁单元,miscutils:RaisinJuice
fluid.raw.waste,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.RawWaste@0,动物粪便单元,miscutils:RawWaste
fluid.rocketfuelmixa,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.RocketFuelMixA@0,H8N4C2O4火箭燃料单元,miscutils:RocketFuelMixA
fluid.rocketfuelmixb,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.RocketFuelMixB@0,Rp-1火箭燃料单元,miscutils:RocketFuelMixB
fluid.rocketfuelmixc,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.RocketFuelMixC@0,CN3H7O3火箭燃料单元,miscutils:RocketFuelMixC
fluid.rocketfuelmixd,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.RocketFuelMixD@0,密集肼混合燃料单元,miscutils:RocketFuelMixD
fluid.rp1fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.RP1Fuel@0,RP-1火箭燃料单元,miscutils:RP1Fuel
fluid.sulfuriccoaltaroil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.SulfuricCoalTarOil@0,含硫煤焦油单元,miscutils:SulfuricCoalTarOil
fluid.un18fertiliser,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.UN18Fertiliser@0,流体肥料UN-18单元,miscutils:UN18Fertiliser
fluid.un32fertiliser,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.UN32Fertiliser@0,流体肥料UN-32单元,miscutils:UN32Fertiliser
fluiddeath,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.ItemBucketDeath@0,桶装死亡之水,Thaumcraft:ItemBucketDeath
fluidmushroom,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketMushroom@0,桶装蘑菇汤,Automagy:bucketMushroom
fluidnaqudahfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30600,硅岩燃料单元,gregtech:gt.metaitem.01
fluidnaqudahfuel,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@445,硅岩燃料胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
fluidpure,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.ItemBucketPure@0,桶装净化之水,Thaumcraft:ItemBucketPure
fluidvishroom,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketVishroom@0,桶装毒菇汤,Automagy:bucketVishroom
fluorecentddna,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@13,荧光DNA单元,gregtech:gt.metaitem.98
fluorine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30014,氟单元,gregtech:gt.metaitem.01
fluorine-rich waste liquid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10064,富氟废液单元,bartworks:gt.bwMetaGeneratedcell
fluorine-rich waste liquid,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10064,富氟废液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
fluoroantimonic acid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10034,氟锑酸单元,bartworks:gt.bwMetaGeneratedcell
fluoroantimonic acid,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10034,氟锑酸 Capsule,bartworks:gt.bwMetaGeneratedcapsule
for.honey,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryHoney@0,蜂蜜胶囊,Forestry:refractoryHoney
for.honey,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canHoney@0,蜜罐,Forestry:canHoney
for.honey,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30725,蜂蜜单元,gregtech:gt.metaitem.01
for.honey,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleHoney@0,蜂蜜胶囊,Forestry:waxCapsuleHoney
for.honey,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.for.bucketHoney@0,蜂蜜桶,Forestry:bucketHoney
formic acid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@58,甲酸单元,bartworks:gt.bwMetaGeneratedcell
formic acid,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@58,甲酸 Capsule,bartworks:gt.bwMetaGeneratedcapsule
froth.almandineflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothAlmandineflotation@0,铁铝榴石泡沫单元,miscutils:FrothAlmandineflotation
froth.copperflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothCopperflotation@0,黄铜泡沫单元,miscutils:FrothCopperflotation
froth.grossularflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothGrossularflotation@0,钙铝榴石泡沫单元,miscutils:FrothGrossularflotation
froth.monaziteflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothMonaziteflotation@0,独居石泡沫单元,miscutils:FrothMonaziteflotation
froth.nickelflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothNickelflotation@0,镍泡沫单元,miscutils:FrothNickelflotation
froth.pentlanditeflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothPentlanditeflotation@0,镍黄铁泡沫单元,miscutils:FrothPentlanditeflotation
froth.platinumflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothPlatinumflotation@0,铂泡沫单元,miscutils:FrothPlatinumflotation
froth.pyropeflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothPyropeflotation@0,镁铝榴石泡沫单元,miscutils:FrothPyropeflotation
froth.redstoneflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothRedstoneflotation@0,红石泡沫单元,miscutils:FrothRedstoneflotation
froth.spessartineflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothSpessartineflotation@0,锰铝榴石泡沫单元,miscutils:FrothSpessartineflotation
froth.zincflotation,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.FrothZincflotation@0,闪锌泡沫单元,miscutils:FrothZincflotation
fuel,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketFuel@0,燃油桶,BuildCraft|Energy:bucketFuel
fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30708,柴油单元,gregtech:gt.metaitem.01
fuel,100,1xgt.metaitem.01@32474,打火机(空),gregtech:gt.metaitem.01,1xgt.metaitem.01@32476,打火机(满),gregtech:gt.metaitem.01
fuel,1000,1xgt.metaitem.01@32477,铂打火机(空),gregtech:gt.metaitem.01,1xgt.metaitem.01@32479,铂打火机(满),gregtech:gt.metaitem.01
fuel,1000,1xitem.oilCanisterPartial@1001,空罐,GalacticraftCore:item.oilCanisterPartial,1xitem.fuelCanisterPartial@1,燃料罐(满),GalacticraftCore:item.fuelCanisterPartial
fuel,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketFuel@0,燃油桶,GalacticraftCore:item.bucketFuel
fuel,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@6,燃油虚空胶囊,MagicBees:capsule.void
fuel,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryFuel@0,耐火燃料胶囊,Forestry:refractoryFuel
fuel,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@6,燃油魔力胶囊,MagicBees:capsule.magic
fuel,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleFuel@0,耐火燃料胶囊,Forestry:waxCapsuleFuel
fuel,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canFuel@0,燃料罐,Forestry:canFuel
gadolinium chloride concentrate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11438,氯化钆浓缩液单元,bartworks:gt.bwMetaGeneratedcell
gadolinium chloride concentrate,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11438,氯化钆浓缩液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
gadolinium extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11415,钆萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
gadolinium extracting nano resin,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11415,钆萃取纳米树脂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
gammabutyrolactone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30776,γ-丁内酯单元,gregtech:gt.metaitem.01
gammabutyrolactone,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@794,γ-丁内酯胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
gas_gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30735,炼油气单元,gregtech:gt.metaitem.01
gas_gas,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@437,炼油气胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
gas_natural_gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30733,天然气单元,gregtech:gt.metaitem.01
gas_natural_gas,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@435,天然气胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
gas_sulfuricgas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30734,含硫炼油气单元,gregtech:gt.metaitem.01
gasoline,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30997,汽油单元,gregtech:gt.metaitem.01
glass,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.for.bucketGlass@0,液态玻璃桶,Forestry:bucketGlass
glass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@13,粘土桶(熔融玻璃),IguanaTweaksTConstruct:clayBucketsTinkers
glass.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@13,桶装熔融玻璃,TConstruct:buckets
glue,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@25,粘土桶(凝胶),IguanaTweaksTConstruct:clayBucketsTinkers
glue,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@25,桶装粘性凝胶,TConstruct:buckets
glycerol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30629,甘油单元,gregtech:gt.metaitem.01
glyceryl,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30714,硝化甘油单元,gregtech:gt.metaitem.01
glyceryl,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@383,硝化甘油胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
gold.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@1,粘土桶(熔融金),IguanaTweaksTConstruct:clayBucketsTinkers
gold.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@1,桶装熔融金,TConstruct:buckets
grade1purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30554,1级净化水单元,gregtech:gt.metaitem.01
grade2purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30555,2级净化水单元,gregtech:gt.metaitem.01
grade3purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30556,3级净化水单元,gregtech:gt.metaitem.01
grade4purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30557,4级净化水单元,gregtech:gt.metaitem.01
grade5purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30558,5级净化水单元,gregtech:gt.metaitem.01
grade6purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30559,6级净化水单元,gregtech:gt.metaitem.01
grade7purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30560,7级净化水单元,gregtech:gt.metaitem.01
grade8purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30561,8级净化水单元,gregtech:gt.metaitem.01
greensapphirejuice,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30415,绿色蓝宝石汁单元,gregtech:gt.metaitem.01
growthmediumraw,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30608,培养基原液单元,gregtech:gt.metaitem.01
growthmediumraw,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@453,培养基原液胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
growthmediumsterilized,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30609,无菌培养基单元,gregtech:gt.metaitem.01
growthmediumsterilized,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@454,无菌培养基胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
hafnium tetrachloride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11004,四氯化铪溶液单元,bartworks:gt.bwMetaGeneratedcell
hafnium tetrachloride solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11004,四氯化铪溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
headedbauxiteslurry,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30410,热铝土泥浆单元,gregtech:gt.metaitem.01
headedbauxiteslurry,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@822,热铝土泥浆胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
heavy naquadah fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10026,重质硅岩燃料单元,bartworks:gt.bwMetaGeneratedcell
heavy naquadah fuel,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10026,重质硅岩燃料 Capsule,bartworks:gt.bwMetaGeneratedcapsule
helium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30004,氦单元,gregtech:gt.metaitem.01
helium-3,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30005,氦-3单元,gregtech:gt.metaitem.01
helium-3,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@31,氦-3胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
hexachlorodisilane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30973,六氯乙硅烷单元,gregtech:gt.metaitem.01
hexafluorosilicic acid,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@98,氟硅酸 Capsule,bartworks:gt.bwMetaGeneratedcapsule
hexafluorosilicic acid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@98,氟硅酸单元,bartworks:gt.bwMetaGeneratedcell
highoctanegasoline,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30998,高辛烷值汽油单元,gregtech:gt.metaitem.01
holmium chloride concentrate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11441,氯化钬浓缩液单元,bartworks:gt.bwMetaGeneratedcell
holmium chloride concentrate,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11441,氯化钬浓缩液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
holmium extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11421,钬萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
holmium extracting nano resin,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11421,钬萃取纳米树脂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
holywater,250,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xgt.metaitem.02@32137,圣水,gregtech:gt.metaitem.02
holywater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30729,圣水单元,gregtech:gt.metaitem.01
holywater,125,1xgt.metaitem.01@32200,空玻璃箭头,gregtech:gt.metaitem.01,1xgt.metaitem.01@32208,圣水玻璃箭头,gregtech:gt.metaitem.01
holywater,125,1xgt.metaitem.01@32225,常规玻璃药水箭,gregtech:gt.metaitem.01,1xgt.metaitem.01@32233,常规圣水箭,gregtech:gt.metaitem.01
holywater,125,1xgt.metaitem.01@32250,轻质玻璃药水箭,gregtech:gt.metaitem.01,1xgt.metaitem.01@32258,轻质圣水箭,gregtech:gt.metaitem.01
honey,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@8,蜂蜜虚空胶囊,MagicBees:capsule.void
honey,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@8,蜂蜜魔力胶囊,MagicBees:capsule.magic
hootch,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketHootch@0,桶装烈酒,EnderIO:bucketHootch
hot ruthenium tetroxide solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@67,热四氧化钌溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
hot ruthenium tetroxide solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@67,热四氧化钌溶液单元,bartworks:gt.bwMetaGeneratedcell
hotfryingoil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30727,热煎炸油单元,gregtech:gt.metaitem.01
hotfryingoil,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@306,热煎炸油胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
hydrochloricacid_gt5u,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30683,氢氯酸单元,gregtech:gt.metaitem.01
